index,date,word,par
0,2025-08-14,pick,5
1,2025-08-15,dawn,5
2,2025-08-16,opts,6
3,2025-08-17,pics,6
4,2025-08-18,jive,6
5,2025-08-19,hale,5
6,2025-08-20,near,5
7,2025-08-21,avid,7
8,2025-08-22,neat,5
9,2025-08-23,farm,6
10,2025-08-24,fare,5
11,2025-08-25,opus,7
12,2025-08-26,sake,5
13,2025-08-27,wind,6
14,2025-08-28,half,5
15,2025-08-29,wine,6
16,2025-08-30,year,5
17,2025-08-31,thug,8
18,2025-09-01,yeah,6
19,2025-09-02,wing,7
20,2025-09-03,fart,5
21,2025-09-04,size,6
22,2025-09-05,wink,6
23,2025-09-06,halo,5
24,2025-09-07,much,6
25,2025-09-08,lint,5
26,2025-09-09,muck,5
27,2025-09-10,dyes,5
28,2025-09-11,thus,7
29,2025-09-12,wins,6
30,2025-09-13,pies,5
31,2025-09-14,arch,9
32,2025-09-15,pier,5
33,2025-09-16,fate,6
34,2025-09-17,blue,5
35,2025-09-18,aces,8
36,2025-09-19,days,5
37,2025-09-20,toes,5
38,2025-09-21,buff,6
39,2025-09-22,turn,5
40,2025-09-23,spin,6
41,2025-09-24,hand,5
42,2025-09-25,turf,6
43,2025-09-26,hang,5
44,2025-09-27,spit,5
45,2025-09-28,dual,5
46,2025-09-29,airy,7
47,2025-09-30,fats,5
48,2025-10-01,arcs,8
49,2025-10-02,sale,5
50,2025-10-03,airs,6
51,2025-10-04,gale,5
52,2025-10-05,pans,5
53,2025-10-06,neck,5
54,2025-10-07,wipe,5
55,2025-10-08,fave,6
56,2025-10-09,salt,5
57,2025-10-10,area,8
58,2025-10-11,daze,5
59,2025-10-12,nine,6
60,2025-10-13,sets,5
61,2025-10-14,jerk,6
62,2025-10-15,blur,5
63,2025-10-16,duck,5
64,2025-10-17,gong,5
65,2025-10-18,sang,6
66,2025-10-19,fast,5
67,2025-10-20,stud,6
68,2025-10-21,hams,5
69,2025-10-22,stub,6
70,2025-10-23,sand,6
71,2025-10-24,pigs,5
72,2025-10-25,owed,8
73,2025-10-26,lacy,5
74,2025-10-27,acid,7
75,2025-10-28,wise,5
76,2025-10-29,owes,8
77,2025-10-30,lite,5
78,2025-10-31,gone,5
79,2025-11-01,sewn,5
80,2025-11-02,stun,6
81,2025-11-03,need,5
82,2025-11-04,hard,6
83,2025-11-05,wish,5
84,2025-11-06,pear,5
85,2025-11-07,sane,5
86,2025-11-08,lend,6
87,2025-11-09,guys,5
88,2025-11-10,scum,6
89,2025-11-11,wire,5
90,2025-11-12,harm,6
91,2025-11-13,mugs,5
92,2025-11-14,nips,6
93,2025-11-15,sank,5
94,2025-11-16,lens,6
95,2025-11-17,lace,5
96,2025-11-18,ride,6
97,2025-11-19,cozy,5
98,2025-11-20,duct,6
99,2025-11-21,sans,5
100,2025-11-22,wade,6
101,2025-11-23,flex,5
102,2025-11-24,jail,5
103,2025-11-25,ouch,7
104,2025-11-26,faux,6
105,2025-11-27,well,5
106,2025-11-28,hare,5
107,2025-11-29,lady,6
108,2025-11-30,live,5
109,2025-12-01,dude,6
110,2025-12-02,harp,5
111,2025-12-03,fawn,6
112,2025-12-04,peas,5
113,2025-12-05,rice,6
114,2025-12-06,duel,5
115,2025-12-07,wage,6
116,2025-12-08,jets,5
117,2025-12-09,apes,7
118,2025-12-10,hart,5
119,2025-12-11,with,6
120,2025-12-12,hate,6
121,2025-12-13,lent,5
122,2025-12-14,odds,7
123,2025-12-15,dues,5
124,2025-12-16,sash,6
125,2025-12-17,weld,5
126,2025-12-18,myth,6
127,2025-12-19,peak,5
128,2025-12-20,rife,6
129,2025-12-21,ribs,5
130,2025-12-22,aria,7
131,2025-12-23,wits,5
132,2025-12-24,riff,6
133,2025-12-25,welt,5
134,2025-12-26,arid,6
135,2025-12-27,sass,5
136,2025-12-28,duet,6
137,2025-12-29,gory,5
138,2025-12-30,hash,6
139,2025-12-31,rich,6
140,2026-01-01,bulk,5
141,2026-01-02,byte,6
142,2026-01-03,jest,5
143,2026-01-04,giga,6
144,2026-01-05,mule,5
145,2026-01-06,peck,5
146,2026-01-07,gift,5
147,2026-01-08,even,8
148,2026-01-09,bulb,5
149,2026-01-10,went,6
150,2026-01-11,hats,5
151,2026-01-12,apex,7
152,2026-01-13,gosh,5
153,2026-01-14,ever,8
154,2026-01-15,shag,5
155,2026-01-16,buns,5
156,2026-01-17,eggs,5
157,2026-01-18,rote,5
158,2026-01-19,jams,5
159,2026-01-20,have,6
160,2026-01-21,rosy,5
161,2026-01-22,owls,8
162,2026-01-23,rigs,5
163,2026-01-24,pink,6
164,2026-01-25,cite,5
165,2026-01-26,ping,6
166,2026-01-27,atom,5
167,2026-01-28,pint,6
168,2026-01-29,pine,5
169,2026-01-30,quad,8
170,2026-01-31,save,5
171,2026-02-01,wait,6
172,2026-02-02,pins,5
173,2026-02-03,writ,6
174,2026-02-04,sham,5
175,2026-02-05,rift,5
176,2026-02-06,buoy,6
177,2026-02-07,etch,9
178,2026-02-08,gigs,5
179,2026-02-09,wept,6
180,2026-02-10,haul,5
181,2026-02-11,quay,9
182,2026-02-12,laid,5
183,2026-02-13,cell,5
184,2026-02-14,city,6
185,2026-02-15,tics,6
186,2026-02-16,lair,5
187,2026-02-17,anew,7
188,2026-02-18,goth,5
189,2026-02-19,army,8
190,2026-02-20,cafe,5
191,2026-02-21,alas,8
192,2026-02-22,rear,5
193,2026-02-23,reap,6
194,2026-02-24,pegs,5
195,2026-02-25,mode,5
196,2026-02-26,west,5
197,2026-02-27,owns,9
198,2026-02-28,arms,7
199,2026-03-01,rove,5
200,2026-03-02,duke,5
201,2026-03-03,pong,5
202,2026-03-04,jars,6
203,2026-03-05,saws,5
204,2026-03-06,lake,6
205,2026-03-07,wake,5
206,2026-03-08,unit,6
207,2026-03-09,spun,5
208,2026-03-10,cent,6
209,2026-03-11,tide,5
210,2026-03-12,real,6
211,2026-03-13,shed,5
212,2026-03-14,yelp,6
213,2026-03-15,fuel,5
214,2026-03-16,tick,5
215,2026-03-17,swab,5
216,2026-03-18,ties,6
217,2026-03-19,cage,5
218,2026-03-20,haze,6
219,2026-03-21,yell,5
220,2026-03-22,land,6
221,2026-03-23,were,5
222,2026-03-24,tier,6
223,2026-03-25,gear,5
224,2026-03-26,lane,6
225,2026-03-27,hawk,5
226,2026-03-28,hazy,7
227,2026-03-29,swag,5
228,2026-03-30,mush,6
229,2026-03-31,read,5
230,2026-04-01,muse,6
231,2026-04-02,swat,5
232,2026-04-03,levy,8
233,2026-04-04,swan,5
234,2026-04-05,burl,5
235,2026-04-06,bust,5
236,2026-04-07,busy,6
237,2026-04-08,swam,5
238,2026-04-09,lame,5
239,2026-04-10,ream,5
240,2026-04-11,tidy,6
241,2026-04-12,gilt,5
242,2026-04-13,bush,6
243,2026-04-14,sway,5
244,2026-04-15,java,7
245,2026-04-16,void,5
246,2026-04-17,ales,8
247,2026-04-18,bury,5
248,2026-04-19,pact,6
249,2026-04-20,flux,5
250,2026-04-21,rind,6
251,2026-04-22,burr,5
252,2026-04-23,mutt,6
253,2026-04-24,says,5
254,2026-04-25,nerd,6
255,2026-04-26,crib,5
256,2026-04-27,rink,6
257,2026-04-28,walk,5
258,2026-04-29,ring,7
259,2026-04-30,lamb,5
260,2026-05-01,eels,6
261,2026-05-02,shin,5
262,2026-05-03,each,8
263,2026-05-04,tied,5
264,2026-05-05,quid,7
265,2026-05-06,duly,5
266,2026-05-07,musk,6
267,2026-05-08,pita,6
268,2026-05-09,wand,6
269,2026-05-10,snug,5
270,2026-05-11,dung,6
271,2026-05-12,butt,5
272,2026-05-13,must,5
273,2026-05-14,pity,6
274,2026-05-15,want,6
275,2026-05-16,pits,5
276,2026-05-17,reef,6
277,2026-05-18,geek,5
278,2026-05-19,pack,5
279,2026-05-20,vibe,6
280,2026-05-21,piss,6
281,2026-05-22,shim,5
282,2026-05-23,geez,6
283,2026-05-24,hubs,5
284,2026-05-25,vial,6
285,2026-05-26,mute,6
286,2026-05-27,cake,5
287,2026-05-28,acts,8
288,2026-05-29,dune,5
289,2026-05-30,gray,5
290,2026-05-31,dunk,5
291,2026-06-01,lard,6
292,2026-06-02,muss,5
293,2026-06-03,teas,6
294,2026-06-04,nail,5
295,2026-06-05,mojo,6
296,2026-06-06,reed,5
297,2026-06-07,rips,6
298,2026-06-08,pace,5
299,2026-06-09,apps,8
300,2026-06-10,rims,5
301,2026-06-11,tune,5
302,2026-06-12,such,6
303,2026-06-13,reel,5
304,2026-06-14,suck,5
305,2026-06-15,calm,5
306,2026-06-16,arts,8
307,2026-06-17,tear,5
308,2026-06-18,quiz,7
309,2026-06-19,calf,5
310,2026-06-20,teak,6
311,2026-06-21,ripe,5
312,2026-06-22,vice,6
313,2026-06-23,lark,5
314,2026-06-24,ours,6
315,2026-06-25,kids,5
316,2026-06-26,nana,8
317,2026-06-27,nets,5
318,2026-06-28,late,6
319,2026-06-29,ward,5
320,2026-06-30,dusk,6
321,2026-07-01,ware,5
322,2026-07-02,nano,7
323,2026-07-03,hues,5
324,2026-07-04,view,6
325,2026-07-05,pens,5
326,2026-07-06,jazz,8
327,2026-07-07,pads,5
328,2026-07-08,quit,6
329,2026-07-09,grab,5
330,2026-07-10,wars,6
331,2026-07-11,kick,5
332,2026-07-12,wart,6
333,2026-07-13,jaws,5
334,2026-07-14,fume,6
335,2026-07-15,team,5
336,2026-07-16,warm,6
337,2026-07-17,gran,5
338,2026-07-18,tech,8
339,2026-07-19,teal,5
340,2026-07-20,wash,6
341,2026-07-21,nest,5
342,2026-07-22,wary,6
343,2026-07-23,tile,5
344,2026-07-24,dust,5
345,2026-07-25,huge,6
346,2026-07-26,wham,5
347,2026-07-27,slum,5
