word,par
abed,7
abet,8
abut,9
aced,7
acer,8
aces,8
acid,7
acts,8
adds,6
aeon,5
aero,7
afro,8
aged,7
agee,8
ages,8
agro,8
ague,9
ahem,8
aide,6
aids,5
ails,6
aims,6
airs,6
airy,7
akin,6
alas,8
alba,9
albs,8
ales,8
alga,10
alms,7
aloe,4
alps,8
alum,5
amen,10
amid,7
amps,9
ands,6
anew,7
anon,6
ante,8
anti,8
ants,7
anus,7
aped,6
apes,7
apex,7
apps,8
apts,7
arch,9
arcs,8
area,8
argh,10
aria,7
arid,6
arks,7
arms,7
army,8
arts,8
asks,8
asps,9
atom,5
atop,4
augh,11
aunt,6
aver,9
aves,8
avid,7
away,6
awed,7
awes,8
awls,7
awns,8
awry,7
axed,7
axel,8
axes,8
axis,9
axon,6
baas,4
babe,6
baby,7
back,4
bade,5
bags,4
baht,6
bail,5
bait,6
bake,6
bald,5
bale,5
balk,5
ball,4
balm,5
band,5
bane,5
bang,5
bank,4
bans,5
barb,5
bard,5
bare,5
barf,5
bark,5
barn,4
bars,5
base,5
bash,5
bask,5
bass,4
bast,5
bath,5
bats,4
baud,6
bawl,5
bays,4
bead,5
beak,5
beam,5
bean,5
bear,4
beat,4
beau,5
beck,4
beds,4
beef,5
been,5
beep,4
beer,5
bees,5
beet,5
begs,4
bell,4
belt,4
bend,5
bent,5
berg,6
berm,6
best,5
beta,5
bets,4
bevy,9
bias,4
bibs,4
bide,5
bids,4
bier,6
bike,5
bile,5
bilk,5
bill,4
bind,5
bins,5
bird,6
bite,5
bits,4
blab,4
blah,5
blam,5
blat,4
bled,4
blew,4
blin,5
blip,4
blob,3
bloc,4
blog,4
blot,3
blow,3
blue,5
blur,5
boar,3
boas,3
boat,3
boba,4
bobo,4
bobs,3
bock,3
bode,4
bods,3
body,4
bogs,3
boil,4
bola,4
bold,4
boll,3
bolo,4
bolt,3
bomb,3
bond,4
bone,4
bong,4
bonk,3
bony,4
boob,2
book,2
boom,2
boon,2
boop,1
boor,2
boos,2
boot,2
bops,3
bora,4
bore,4
born,3
boss,3
both,4
bots,3
bout,3
bowl,4
bows,3
boxy,5
boys,3
bozo,5
brag,5
bran,5
bras,4
brat,4
bray,5
bred,5
brew,4
brie,5
brig,4
brim,4
bris,4
bros,3
brow,3
brut,4
bubo,5
bubs,4
buck,4
buds,4
buff,6
bugs,4
bulb,5
bulk,5
bull,4
bump,3
bums,4
bung,5
bunk,4
buns,5
bunt,5
buoy,6
burb,5
burg,5
burl,5
burn,4
burp,4
burr,5
burs,5
bury,5
bush,6
busk,5
bust,5
busy,6
buts,4
butt,5
buys,4
buzz,9
byes,6
byte,6
cabs,4
caca,5
cads,4
cafe,5
cage,5
cake,5
calf,5
call,4
calm,5
came,4
cami,4
camo,4
camp,3
cams,4
cane,5
cans,4
cant,5
cape,5
capo,5
caps,4
carb,5
card,5
care,5
carp,4
cars,5
cart,5
case,5
cash,5
cask,5
cast,4
cats,4
cave,5
caws,4
cede,5
cell,5
cent,6
chai,4
chap,3
char,4
chat,4
chaw,4
chef,5
chew,4
chia,4
chic,4
chin,4
chip,3
chit,4
chop,2
chow,3
chub,7
chug,8
chum,8
ciel,6
cigs,4
cite,5
city,6
clad,4
clam,4
clan,4
clap,3
claw,4
clay,4
clef,6
clip,3
clit,4
clod,3
clog,3
clop,2
clot,3
cloy,3
club,6
clue,5
coal,3
coat,3
coax,4
cobs,3
coca,4
cock,3
coda,4
code,4
cods,3
coed,4
cogs,3
coif,4
coil,3
coin,4
coke,4
cola,4
cold,4
cole,4
colt,3
coma,3
comb,3
come,3
comp,2
cone,4
conk,3
conn,4
cons,3
cook,2
cool,2
coop,1
coos,2
coot,2
cope,4
cops,3
copy,4
cord,4
core,4
cork,3
corn,4
cosh,4
cost,3
cosy,4
cote,4
cots,3
coup,2
cove,4
cowl,3
cows,3
cozy,5
crab,4
crag,4
cram,4
crap,3
craw,4
cray,4
cred,5
crew,4
crib,5
croc,3
crop,2
crow,3
crud,6
crux,7
cube,5
cubs,4
cued,5
cues,5
cuff,6
cull,4
cult,4
cums,5
cups,4
curb,6
curd,5
cure,5
curl,5
curs,5
curt,5
cusp,6
cuss,5
cute,5
cuts,4
cyan,5
cyst,4
czar,5
dabs,5
dada,6
dads,5
daft,6
dais,6
dale,5
dame,4
damn,5
damp,4
dams,5
dang,6
dank,5
daps,5
dare,5
dark,5
darn,5
dart,6
dash,6
data,6
date,5
dawn,5
days,5
daze,5
dead,6
deaf,6
deal,5
dean,5
dear,5
debe,7
debt,6
deck,5
deco,6
deed,5
deem,5
deep,4
deer,4
deft,5
defy,6
deli,5
dell,4
delt,5
demo,7
dens,5
dent,6
deny,6
desk,6
deus,6
devs,6
dews,6
dewy,7
dial,5
dibs,5
dice,5
dick,5
died,5
dies,5
diet,6
digs,5
dike,5
dill,4
dime,4
dims,5
dine,5
ding,6
dink,6
dino,6
dint,6
dips,6
dire,5
dirk,5
dirt,6
disc,7
dish,6
disk,6
diss,6
ditz,8
diva,6
dive,5
dock,4
docs,5
dodo,8
doer,3
does,4
doge,4
dogs,4
dojo,7
dole,4
doll,3
dolt,4
dome,3
doms,4
done,4
dong,5
dons,4
doom,3
door,2
dope,4
dork,4
dorm,4
dory,5
dose,4
dosh,5
dote,4
dots,4
dour,3
dove,4
down,4
doze,4
drab,5
drag,5
dram,4
drat,5
draw,5
dreg,6
drew,5
drip,3
drop,2
drug,6
drum,5
drys,6
dual,5
dubs,5
duck,5
duct,6
dude,6
duds,5
duel,5
dues,5
duet,6
duke,5
dull,4
duly,5
dumb,4
dump,3
dune,5
dung,6
dunk,5
duos,6
dupe,5
dusk,6
dust,5
duty,6
dyad,6
dyed,5
dyer,4
dyes,5
dyne,5
each,8
earl,6
earn,5
ears,5
ease,6
east,5
easy,6
eats,5
eaux,7
eave,6
eddy,8
edge,8
edgy,7
eels,6
eggs,5
eggy,6
egos,4
eked,7
ekes,7
elan,4
elfs,9
elks,9
elms,8
elmy,9
else,7
emos,4
emus,5
ends,7
eons,4
eras,4
ergo,5
ergs,4
eros,3
errs,4
erst,6
etas,5
etch,9
even,8
ever,8
eves,7
ewer,8
ewes,7
exec,8
exes,7
eyed,6
eyes,6
face,6
fact,6
fade,6
fads,5
fail,4
fain,5
fair,5
fake,6
fall,4
fame,5
fang,6
fans,5
fare,5
farm,6
fart,5
fast,5
fate,6
fats,5
faux,6
fava,7
fave,6
fawn,6
faze,6
fear,5
feat,5
feck,5
feed,5
feel,5
fees,5
feet,6
fell,5
felt,5
fems,6
fend,5
fens,6
fern,6
fess,6
fest,5
feta,6
fete,7
feud,6
fiat,5
fibs,5
fife,6
figs,5
file,5
fill,4
film,5
find,5
fine,6
fink,6
fins,6
fire,5
firm,6
firs,6
fish,6
fist,5
fits,5
five,6
fizz,9
flab,4
flag,4
flak,4
flan,4
flap,3
flat,4
flaw,4
flax,4
flay,4
flea,5
fled,4
flee,4
flew,4
flex,5
flip,3
flit,4
floe,3
flog,3
flop,2
flow,3
flub,5
flue,4
flux,5
foal,3
foam,4
fobs,4
foci,5
foes,5
fogs,4
foil,3
fold,4
folk,5
fond,4
font,4
food,3
fool,2
foot,3
fops,4
fora,5
ford,4
fore,4
fork,4
form,5
fort,4
foul,3
four,3
fowl,3
foxy,6
frag,4
frat,5
fray,5
free,5
fret,6
frog,3
from,3
fuel,5
full,4
fume,6
fund,5
funk,5
funs,6
furl,5
furs,6
fury,6
fuse,6
fuss,6
fuze,7
fuzz,8
gabs,5
gaff,6
gaga,6
gage,6
gags,5
gain,5
gait,6
gala,5
gale,5
gall,4
gals,5
game,5
gams,5
gang,6
gant,6
gaol,5
gape,6
gaps,5
garb,6
gars,6
gash,6
gasp,5
gate,6
gave,6
gawk,6
gays,5
gaze,6
gear,5
geek,5
gees,5
geez,6
geld,4
gels,5
gems,6
gene,6
gens,6
germ,6
gets,5
ghee,6
gibs,5
gifs,6
gift,5
giga,6
gigs,5
gild,4
gill,4
gilt,5
gins,6
gird,5
girl,5
gist,5
give,6
glad,4
glam,4
glee,5
glen,6
glib,4
glob,3
glom,3
glop,2
glow,3
glue,5
glug,5
glum,4
glut,5
gnat,5
gnaw,6
gnus,8
goad,3
goal,4
goat,4
gobs,4
gods,4
goer,4
goes,5
gold,3
golf,3
gone,5
gong,5
good,2
goof,2
goon,2
goop,1
gore,4
gory,5
gosh,5
goss,4
goth,5
gout,4
gown,3
grab,5
grad,4
gram,4
gran,5
gray,5
grew,4
grey,4
grid,5
grim,4
grin,5
grip,4
grit,5
grog,3
grok,4
grow,3
grub,6
guff,5
gulf,4
gull,4
gulp,4
gums,5
gunk,5
guns,6
gush,6
gust,5
guts,5
guys,5
gyms,6
gyno,7
gyre,5
gyro,6
hack,4
haft,5
hags,5
hail,5
hair,6
hale,5
half,5
hall,4
halo,5
halt,4
hams,5
hand,5
hang,5
hank,4
haps,5
hard,6
hare,5
hark,5
harm,6
harp,5
hart,5
hash,6
hasp,5
hate,6
hats,5
haul,5
have,6
hawk,5
haws,5
haze,6
hazy,7
head,5
heal,6
heap,5
hear,5
heat,5
heck,4
heed,4
heel,5
heft,5
heir,6
held,4
hell,5
helm,5
help,5
heme,4
hemp,4
hems,5
hens,5
herb,6
herd,5
here,5
hero,6
hers,6
hest,4
hewn,6
hews,6
heys,6
hick,4
hide,6
hike,5
hill,4
hilt,4
hint,5
hips,5
hire,6
hiss,5
hits,5
hive,6
hoar,4
hoax,5
hobs,4
hock,3
hoed,3
hoer,4
hoes,4
hogs,4
hold,3
hole,4
holm,4
holt,3
holy,4
home,3
homo,4
hone,4
honk,3
hons,4
hood,2
hoof,2
hook,2
hoop,1
hoot,2
hope,4
hops,4
horn,4
hose,4
hoss,4
host,3
hots,4
hour,3
howl,4
hubs,5
huck,4
hued,4
hues,5
huff,6
huge,6
hugs,5
hula,5
hulk,5
hull,4
hump,3
hums,4
hung,5
hunk,4
hunt,5
hurl,5
hurt,6
hush,6
husk,5
huts,5
hype,5
iamb,6
ibis,6
iced,8
icer,9
ices,9
icky,8
idea,8
idem,7
ides,8
imps,10
inch,11
inks,6
inky,7
inns,5
ions,4
iris,5
irks,6
itch,10
item,6
jabs,5
jack,5
jade,6
jags,5
jail,5
jamb,6
jams,5
jape,6
jarl,6
jars,6
java,7
jaws,5
jays,5
jazz,8
jean,5
jeer,5
jeez,6
jerk,6
jess,5
jest,5
jets,5
jibe,7
jiff,7
jigs,5
jinx,7
jive,6
jizz,9
jobs,4
jock,4
jogs,4
join,4
joke,4
jolt,4
josh,5
joss,4
jots,4
jowl,4
joys,4
jugs,5
juke,5
jump,3
junk,5
jure,5
jury,6
just,5
juts,5
kaka,8
kale,5
kana,8
kart,6
kata,7
kava,7
keel,5
keen,5
keep,4
kegs,5
kelp,5
kemp,5
kept,6
kerb,7
kern,6
keto,7
keys,6
khan,5
